episode,total_reward
1,-1309.175842538476
2,-1144.5459882840514
3,-600.3003803789616
4,-572.9179003238678
5,-570.9208710193634
6,-581.5287655293941
7,-563.3642268180847
8,-609.4744157791138
9,-580.0468383431435
10,-586.8763008713722
11,-601.7756552696228
12,-586.8921912014484
13,-569.5405763983727
14,-596.8048846125603
15,-597.3769206702709
16,-583.3604472875595
17,-564.2284377217293
18,-589.6920849382877
19,-578.2746511697769
20,-600.7039553523064
21,-582.9548662304878
22,-576.717982172966
23,-579.4276986420155
24,-581.6644510030746
25,-975.495295882225
26,-925.3895749747753
27,-803.8316643238068
28,-866.9860370159149
29,-763.1161170303822
30,-769.9859461784363
31,-1185.9613314419985
32,-1503.7391557246447
33,-1506.0172706991434
34,-1505.4423204883933
35,-1505.3800328820944
36,-1505.6092068478465
37,-1483.1487748995423
38,-1494.8216486647725
39,-1505.1189000755548
40,-1506.0726979747415
41,-1503.8807002156973
42,-1494.2273019105196
43,-1504.612674035132
44,-1505.3451048880816
45,-1505.6542804464698
46,-1506.422537498176
47,-1505.0263624340296
48,-1504.1213618963957
49,-1505.7460061982274
50,-1506.542557477951
51,-1504.7993648946285
52,-1504.2241513431072
53,-1490.5396406127547
54,-1505.8486789390445
55,-1505.6505625098944
56,-1505.557673074305
57,-1505.939049936831
58,-1505.8544348552823
59,-1506.5300131738186
60,-1505.5086823552847
61,-1505.5934426859021
62,-1489.073701173067
63,-1478.2537253722548
64,-1489.1827859319746
65,-1494.8405460491776
66,-1496.4549467898905
67,-1461.1224901080132
68,-1440.082779750228
69,-1491.4957924485207
70,-1501.5185969099402
71,-1503.7089107632637
72,-1492.681948453188
73,-1502.2737312987447
74,-1502.164762660861
75,-1502.4130805581808
76,-1505.834140688181
77,-1505.735044337809
78,-1505.9223793968558
79,-1505.3786914870143
80,-1505.3253571540117
81,-1505.6026878729463
82,-1506.141656242311
83,-1504.8146465495229
84,-1505.4960119202733
85,-1503.0662729367614
86,-1506.13084615767
87,-1505.4448365196586
88,-1504.1296256631613
89,-1506.317998342216
